rallyid,server,returner,winner,reason,serve,strokes,totaltime,x,y
1,Djokovic,Nadal,Djokovic,winner,first,3,0.92,1.92,21.96
2,Djokovic,Nadal,__undefined__,second_serve,first,1,0,7.42,12.1
3,Djokovic,Nadal,Djokovic,out,second,4,4.16,3.33,-0.39
4,Djokovic,Nadal,__undefined__,second_serve,first,1,0,4.64,17.69
5,Djokovic,Nadal,Djokovic,ace,second,2,0.4,1.62,17.18
6,Djokovic,Nadal,Djokovic,net,first,10,10.4,6.41,12.78
7,Nadal,Djokovic,__undefined__,second_serve,first,1,0,4.48,12.04
8,Nadal,Djokovic,Djokovic,out,second,7,7.2,0.5,18.67
9,Nadal,Djokovic,Djokovic,winner,first,12,0.92,3.65,9.5
10,Nadal,Djokovic,__undefined__,let,first,1,0,2.9,14.68
11,Nadal,Djokovic,Nadal,winner,first,4,1.08,7.34,18.76
12,Nadal,,__undefined__,second_serve,first,1,0,5.69,7.96
13,Nadal,Djokovic,Djokovic,net,second,13,13.6,4.01,11.37
14,Nadal,Djokovic,Djokovic,out,first,3,2.64,1.07,25.85
15,Djokovic,Nadal,Djokovic,out,first,2,0.8,4.39,27.45
16,Djokovic,Nadal,__undefined__,second_serve,first,1,0,1.73,8.33
17,Djokovic,Nadal,Djokovic,out,first,4,4,5.45,30.23
18,Djokovic,Nadal,Djokovic,out,first,6,6.4,8.55,22.48
19,Djokovic,Nadal,Djokovic,ace,first,1,0,1.62,10.23
20,Nadal,Djokovic,Djokovic,winner,first,12,12.92,0.53,21.45
21,Nadal,,__undefined__,second_serve,first,1,0,2.54,6.34
22,Nadal,Djokovic,Nadal,out,second,2,0.76,4.77,24.68
23,Nadal,Djokovic,__undefined__,let,first,2,0.84,1.37,11.5
24,Nadal,Djokovic,Djokovic,winner,first,4,0.72,7.3,22.58
25,Nadal,Djokovic,Nadal,winner,first,3,2.52,8.4,3.22
26,Nadal,Djokovic,Djokovic,out,first,7,6.24,9,4.04
27,Nadal,Djokovic,__undefined__,second_serve,first,1,0,4,5.65
28,Nadal,Djokovic,Nadal,out,first,2,0.84,8.34,24.45
29,Nadal,,Nadal,out,first,2,0.8,2.27,24.56
30,Nadal,Djokovic,Nadal,out,first,4,3.4,0.88,8.57
31,Djokovic,Nadal,Djokovic,ace,first,1,0,4.63,16.1
32,Djokovic,__undefined__,Djokovic,net,first,6,7.32,1.78,12.85
33,Djokovic,Nadal,Djokovic,ace,first,1,0,4.23,18.13
34,Djokovic,Nadal,Djokovic,winner,first,5,0.72,7.33,20.36
35,Nadal,__undefined__,__undefined__,second_serve,first,1,0,4.86,17.35
36,Nadal,Djokovic,Djokovic,out,second,3,2.16,0.2,23.01
37,Nadal,Djokovic,Nadal,net,first,2,0.84,7.47,17.52
38,Nadal,Djokovic,Nadal,winner,first,3,3.12,3.19,16.26
39,Nadal,Djokovic,__undefined__,second_serve,first,1,0,2.15,7.05
40,Nadal,Djokovic,Djokovic,out,second,11,11.92,8.45,24.56
41,Nadal,Djokovic,__undefined__,second_serve,first,1,0,2.24,11.24
42,Nadal,Djokovic,Nadal,net,second,6,7.16,2.88,12.72
43,Nadal,Djokovic,Nadal,out,first,2,0.76,4.55,-0.62
44,Djokovic,Nadal,Djokovic,net,first,8,1,8.38,13.42
45,Djokovic,Nadal,__undefined__,second_serve,first,1,0,4.51,16.1
46,Djokovic,Nadal,Djokovic,out,second,14,16.72,0.61,23.77
47,Djokovic,Nadal,__undefined__,second_serve,first,1,0,6.97,14.08
48,Djokovic,Nadal,Djokovic,winner,second,4,3.44,1,-3.57
49,Djokovic,Nadal,Djokovic,winner,first,3,1.96,8.16,4.3
50,Nadal,Djokovic,__undefined__,second_serve,first,1,0,7.49,5.36
51,Nadal,Djokovic,Nadal,winner,second,7,7.08,8.4,0.61
52,Nadal,Djokovic,__undefined__,let,first,1,0,3.76,7.32
53,Nadal,Djokovic,__undefined__,second_serve,first,1,0,0.56,6.19
54,Nadal,Djokovic,Nadal,net,second,16,17.36,6.12,12.72
55,Nadal,Djokovic,__undefined__,second_serve,first,1,0,8.15,5.41
56,Nadal,Djokovic,Nadal,net,second,4,0.8,6.62,12.17
57,Nadal,Djokovic,Nadal,winner,first,3,2.36,8.34,1.15
58,Djokovic,Nadal,__undefined__,second_serve,first,1,0,4.56,11.11
59,Djokovic,Nadal,Nadal,net,second,11,12.24,6.8,11.11
60,Djokovic,Nadal,Djokovic,out,first,6,6.76,9.07,1.33
61,Djokovic,Nadal,__undefined__,second_serve,first,1,0,0.47,16.42
62,Djokovic,Nadal,Djokovic,winner,second,11,12.64,0.78,20.16
63,Djokovic,Nadal,Djokovic,net,first,22,21.4,3,12.51
64,Djokovic,Nadal,Djokovic,net,first,4,3.640000001,2.81,12.03
65,Nadal,Djokovic,Djokovic,out,first,5,4.36,-1.04,20.45
66,Nadal,Djokovic,Nadal,winner,first,3,0.88,1.67,20.06
67,Nadal,Djokovic,Nadal,out,first,2,0.72,8.51,-1.35
68,Nadal,Djokovic,__undefined__,let,first,1,0,5.17,15.7
69,Nadal,Djokovic,__undefined__,second_serve,first,1,0,9.06,18.13
70,Nadal,Djokovic,Djokovic,winner,second,4,3.44,1.4,1.59
71,Nadal,Djokovic,Nadal,winner,first,1,0,4.84,29.68
72,Nadal,Djokovic,__undefined__,second_serve,first,1,0,9.35,16.42
73,Nadal,Djokovic,Nadal,winner,second,3,1.76,1.92,21.65
74,Djokovic,Nadal,__undefined__,second_serve,first,1,0,4.29,10.98
